Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
07-10-2009,26.092910864242672,27.996726289649267,25.522732294192103,26.305519104003906,63739500,0.0,0.0
08-10-2009,26.411824901794564,26.51812994635389,25.60970954450866,25.706350326538086,6906700,0.0,0.0
09-10-2009,25.92862323162786,26.566449822203438,25.493740627476498,25.51306915283203,3361300,0.0,0.0
12-10-2009,26.37316795979028,26.962673189172556,25.223146600168963,25.368106842041016,7177000,0.0,0.0
13-10-2009,25.7740005834327,26.344179219860315,25.648368846055153,26.276531219482422,3296000,0.0,0.0
14-10-2009,26.334513245510795,27.291253138559014,26.092912206561156,27.049652099609375,3222400,0.0,0.0
15-10-2009,27.329911031664395,27.832439807278902,26.817716149732057,27.358901977539062,3181300,0.0,0.0
16-10-2009,27.49420098207876,27.639161247404264,26.624435703586176,27.61016845703125,3974100,0.0,0.0
19-10-2009,27.561847349566893,27.919415859960612,26.576114654541016,26.576114654541016,1892100,0.0,0.0
20-10-2009,26.576114223675443,27.155957084482292,26.43115396929114,27.117300033569336,3387000,0.0,0.0
21-10-2009,27.05931282043457,27.397554599343884,26.92401684617861,27.05931282043457,1079000,0.0,0.0
22-10-2009,26.827380731850266,27.52319109016343,26.402162369024026,26.953012466430664,1172500,0.0,0.0
23-10-2009,27.05932257459652,27.436219692039124,26.58578465073349,27.416893005371094,2385700,0.0,0.0
26-10-2009,26.895028348109555,27.63916001165192,26.827380350200194,27.494199752807617,834400,0.0,0.0
27-10-2009,27.581177238053737,28.267323347356843,26.991670075835184,27.60050392150879,1578700,0.0,0.0
28-10-2009,27.262258104101686,27.590835637462437,26.63409582324243,26.759729385375977,1153500,0.0,0.0
29-10-2009,26.943348203267597,27.059317517954653,26.817716468687202,26.953012466430664,563500,0.0,0.0
30-10-2009,27.05931485645863,27.12696284867665,26.38283124773935,26.508464813232422,819600,0.0,0.0
02-11-2009,26.4601457419044,26.721075313920053,25.706351658218793,26.450483322143555,978000,0.0,0.0
03-11-2009,26.508468696096582,26.566452434595337,25.94795430855575,26.440820693969727,696500,0.0,0.0
04-11-2009,26.411826805509985,26.556787067367786,26.044594019252237,26.054256439208984,461200,0.0,0.0
05-11-2009,26.112241489059436,26.672755841941207,26.06392017390688,26.38283348083496,470400,0.0,0.0
06-11-2009,26.237871776349618,26.421489077273602,26.04459205619717,26.189552307128906,310800,0.0,0.0
09-11-2009,26.334513819390956,26.759732173324156,26.141232246711407,26.653427124023438,615600,0.0,0.0
10-11-2009,26.33451053691209,27.310578855068872,26.33451053691209,26.740400314331055,287300,0.0,0.0
11-11-2009,26.991671592405993,28.1416931913717,26.701749205053282,28.00639533996582,1174600,0.0,0.0
12-11-2009,27.813115390994916,28.992127929900384,27.47487352982544,27.9290828704834,1211600,0.0,0.0
13-11-2009,27.813115390994916,28.10303593298598,27.552185797241048,27.9290828704834,414900,0.0,0.0
16-11-2009,27.78411750814458,28.03538279201927,27.30091546452467,27.88075828552246,1424300,0.0,0.0
17-11-2009,27.59083999319359,27.98706557951504,26.479475498797573,26.914358139038086,2496000,0.0,0.0
18-11-2009,27.436213568061298,28.025720696700247,27.213941053196322,27.542518615722656,730900,0.0,0.0
