Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
10-07-1984,0.0,1.6572626599346307,1.585207223892212,1.585207223892212,900,0.0,0.0
11-07-1984,0.0,1.681280383464606,1.609225869178772,1.609225869178772,48150,0.0,0.0
12-07-1984,0.0,1.6572627961296453,1.609225869178772,1.609225869178772,382950,0.0,0.0
13-07-1984,0.0,1.681280383464606,1.609225869178772,1.609225869178772,45000,0.0,0.0
16-07-1984,0.0,1.681280383464606,1.609225869178772,1.609225869178772,44550,0.0,0.0
17-07-1984,0.0,1.681280383464606,1.609225869178772,1.609225869178772,1350,0.0,0.0
18-07-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,2700,0.0,0.0
19-07-1984,0.0,1.7293171709612687,1.6572625637054443,1.6572625637054443,74700,0.0,0.0
20-07-1984,0.0,1.7293171709612687,1.6572625637054443,1.6572625637054443,13500,0.0,0.0
23-07-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,11700,0.0,0.0
24-07-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,4950,0.0,0.0
25-07-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,9000,0.0,0.0
26-07-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,1350,0.0,0.0
27-07-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,13050,0.0,0.0
30-07-1984,0.0,1.7052985197787633,1.6332439184188843,1.6332439184188843,26100,0.0,0.0
31-07-1984,0.0,1.7052985197787633,1.6332439184188843,1.6332439184188843,2250,0.0,0.0
01-08-1984,0.0,1.7052985197787633,1.6332439184188843,1.6332439184188843,13500,0.0,0.0
02-08-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,112950,0.0,0.0
03-08-1984,0.0,1.80137191672014,1.75333571434021,1.75333571434021,177750,0.0,0.0
06-08-1984,0.0,1.897444981464961,1.8494089841842651,1.8494089841842651,56250,0.0,0.0
07-08-1984,0.0,1.8974451999877056,1.8253905773162842,1.8253905773162842,38700,0.0,0.0
08-08-1984,0.0,1.8974451999877056,1.8253905773162842,1.8253905773162842,15750,0.0,0.0
09-08-1984,0.0,1.8974451999877056,1.8253905773162842,1.8253905773162842,111150,0.0,0.0
10-08-1984,0.0,1.921463819846277,1.8253905773162842,1.8253905773162842,159300,0.0,0.0
13-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,49500,0.0,0.0
14-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,10800,0.0,0.0
15-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,79650,0.0,0.0
16-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,106200,0.0,0.0
17-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,40950,0.0,0.0
20-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,29700,0.0,0.0
21-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,58050,0.0,0.0
22-08-1984,0.0,2.0175363817251704,1.969500184059143,1.969500184059143,629550,0.0,0.0
23-08-1984,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,37350,0.0,0.0
24-08-1984,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,17100,0.0,0.0
27-08-1984,0.0,1.945481881474439,1.8734272718429565,1.8734272718429565,33750,0.0,0.0
28-08-1984,0.0,1.945481881474439,1.8734272718429565,1.8734272718429565,13050,0.0,0.0
29-08-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,14850,0.0,0.0
30-08-1984,0.0,1.9695002780109054,1.8974448442459106,1.8974448442459106,192150,0.0,0.0
31-08-1984,0.0,1.9695002780109054,1.8974448442459106,1.8974448442459106,7650,0.0,0.0
04-09-1984,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,43650,0.0,0.0
05-09-1984,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,190350,0.0,0.0
06-09-1984,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,11700,0.0,0.0
07-09-1984,0.0,2.0895926854281317,2.041555643081665,2.041555643081665,136350,0.0,0.0
10-09-1984,0.0,2.0895926854281317,2.041555643081665,2.041555643081665,64350,0.0,0.0
11-09-1984,0.0,2.1376276937080267,2.0895915031433105,2.0895915031433105,209250,0.0,0.0
12-09-1984,0.0,2.16164633438024,2.1136093139648438,2.1136093139648438,32850,0.0,0.0
13-09-1984,0.0,2.233701334979631,2.1856651306152344,2.1856651306152344,142200,0.0,0.0
14-09-1984,0.0,2.2817380122396314,2.23370099067688,2.23370099067688,819900,0.0,0.0
17-09-1984,0.0,2.3297737908470273,2.281737804412842,2.281737804412842,207450,0.0,0.0
18-09-1984,0.0,2.3297737908470273,2.281737804412842,2.281737804412842,157050,0.0,0.0
19-09-1984,0.0,2.305756209931225,2.281737804412842,2.281737804412842,91350,0.0,0.0
20-09-1984,0.0,2.113609202616098,2.065573215484619,2.065573215484619,410400,0.0,0.0
21-09-1984,0.0,2.113609202616098,2.065573215484619,2.065573215484619,397350,0.0,0.0
24-09-1984,0.0,2.113609202616098,2.065573215484619,2.065573215484619,347400,0.0,0.0
25-09-1984,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,98550,0.0,0.0
26-09-1984,0.0,1.9454818688061328,1.8974448442459106,1.8974448442459106,66600,0.0,0.0
27-09-1984,0.0,1.897444981464961,1.8494089841842651,1.8494089841842651,199800,0.0,0.0
28-09-1984,0.0,1.8013719204159884,1.729317307472229,1.729317307472229,72000,0.0,0.0
01-10-1984,0.0,1.729317281682537,1.681280255317688,1.681280255317688,30600,0.0,0.0
