Symbol,Date,Open,High,Low,Close,Volume,Trends,Sentiment
EA,2008-01-02,56.91196341228995,57.22579783081276,55.14664387279881,55.66643142700195,2957600,88.0,neutral
EA,2008-01-03,55.56836586478281,55.99988730380173,54.67589843460152,55.05838394165039,2438200,85.0,neutral
EA,2008-01-04,54.9995445387578,55.41145087336695,53.21460586517895,53.45978927612305,2640400,83.0,neutral
EA,2008-01-07,53.55787156961396,53.95997226409915,52.63597943503639,52.989044189453125,4676400,72.0,neutral
EA,2008-01-08,53.28325656821264,54.89165902183452,52.46924591064453,52.46924591064453,3782800,70.0,neutral
EA,2008-01-09,52.68501370795893,54.234570954027234,51.98868996213888,52.22406768798828,5004800,70.0,neutral
EA,2008-01-10,52.27311030915492,53.07731171843404,51.46890889987581,52.685020446777344,4575500,67.0,positive
EA,2008-01-11,52.184834705692495,52.56732021657956,51.24333133409329,51.84157943725586,4079700,75.0,positive
EA,2008-01-14,52.24367342436083,52.90076306642028,51.83176341342693,52.29270935058594,2246900,71.0,negative
EA,2008-01-15,51.67485166170126,52.26329406214675,50.47835922241211,50.47835922241211,4064700,69.0,negative
EA,2008-01-16,50.419508458389046,50.478353814489815,48.49727172018026,48.99744415283203,8174700,69.0,negative
EA,2008-01-17,48.575737345567774,50.19394939313968,48.575737345567774,49.6251220703125,5893500,69.0,negative
EA,2008-01-18,48.89937873190076,50.35086403581046,48.14421339802578,48.46785354614258,7838200,74.0,negative
EA,2008-01-22,46.143510690108656,49.04648096878807,45.45699648795032,48.536502838134766,6720300,67.0,negative
EA,2008-01-23,45.65314816255921,47.526349181968655,44.91759796528533,47.14386367797852,10178500,72.0,negative
EA,2008-01-24,47.271361179139205,48.516893324084286,45.96698367022755,48.507083892822266,6207400,67.0,neutral
EA,2008-01-25,48.97783050758532,49.03667586545639,46.23177740736005,46.31023788452149,4722200,74.0,neutral
EA,2008-01-28,46.10427663980303,46.61425846948922,44.94701464079336,45.30007553100586,5838800,69.0,negative
EA,2008-01-29,45.251042013342825,45.42757433843322,43.37784122261819,44.69202423095703,8248400,64.0,negative
EA,2008-01-30,45.8100635723537,47.52634729795686,45.62372554326365,46.320045471191406,7941700,71.0,negative
EA,2008-01-31,45.60411071689977,46.76137662148497,44.72144901299525,46.45734786987305,6898500,65.0,negative
EA,2008-02-01,45.7119964902998,48.055949339061705,45.447197953160725,47.68326950073242,9309800,68.0,negative
EA,2008-02-04,47.457700524553005,48.0265278349285,45.6041145324707,45.6041145324707,5651300,71.0,negative
EA,2008-02-05,44.65280127718547,45.25104939410341,43.98590210500173,44.53511428833008,8001600,73.0,negative
EA,2008-02-06,44.809708456149366,44.809708456149366,43.39745368312416,43.55437088012695,5967200,65.0,negative
EA,2008-02-07,43.70149272824043,44.50569402079244,42.779600704191566,43.91725158691406,7200000,68.0,negative
EA,2008-02-08,43.583803470076326,44.11340055610909,43.191512242098135,43.71129989624024,5628200,73.0,negative
EA,2008-02-11,44.03494740020376,45.457008361816406,43.73091858722047,45.457008361816406,4854300,70.0,negative
EA,2008-02-12,45.80026130339481,48.98764560327173,44.96663547255202,47.908836364746094,13668300,69.0,negative
EA,2008-02-13,48.30112752134361,49.00725687721579,47.64403783611936,47.92844772338867,8045800,68.0,negative
EA,2008-02-14,48.2030546957143,48.2030546957143,46.96732834772111,47.49692535400391,4924200,66.0,negative
EA,2008-02-15,47.3203917917927,48.04613623431359,47.0654027256754,47.78133773803711,2679800,67.0,negative
EA,2008-02-19,48.33054652623704,48.65419038266165,47.62442093793132,47.95787048339844,3777100,74.0,negative
EA,2008-02-20,47.80095833367074,48.54631423950195,47.49692956432806,48.54631423950195,3616900,65.0,negative
EA,2008-02-21,48.53650929278486,49.19359903314169,47.8499949993301,48.00691223144531,3647500,71.0,negative
EA,2008-02-22,48.31092951346649,48.879756726875385,47.77152684843478,48.78168487548828,3630800,73.0,negative
EA,2008-02-25,47.369427916272535,48.19324421660777,45.60410834161173,46.23177719116211,12723300,69.0,neutral
EA,2008-02-26,46.14352216167075,47.1536804675844,45.61392503909883,47.006568908691406,6072500,72.0,positive
EA,2008-02-27,46.95752987765852,47.39886078407678,46.23178530474826,46.447547912597656,4015600,79.0,negative
EA,2008-02-28,46.21216418127552,46.77118200974728,46.114092322007416,46.320045471191406,3163300,71.0,negative
EA,2008-02-29,45.44718962208406,46.39850229506182,44.70183382326117,46.37888717651367,6277400,72.0,positive
EA,2008-03-03,46.16313123852883,47.33020290061928,45.91794783329287,46.80060958862305,4748000,69.0,positive
EA,2008-03-04,46.329854494483335,46.38869611304618,45.30989070577597,46.14351272583008,4461100,68.0,positive
EA,2008-03-05,45.7316186999304,46.97715109008294,45.62373738202073,46.61427688598633,2843500,63.0,positive
EA,2008-03-06,46.65349205940352,47.4478875372124,45.85909658159464,45.87871170043945,3174800,70.0,positive
EA,2008-03-07,45.73160865202119,46.44754372851711,44.76068074536399,45.41777420043945,3963600,69.0,positive
EA,2008-03-10,45.39815339681383,45.39815339681383,43.81917190551758,43.81917190551758,4542500,69.0,positive
EA,2008-03-11,44.437040424407726,46.22197526351782,44.37819506202324,46.21216583251953,4294800,67.0,positive
EA,2008-03-12,46.80060656048901,47.23212797895093,46.10428289135963,46.320045471191406,2775900,62.0,positive
EA,2008-03-13,45.97678837331326,46.78098955881103,44.966630305713714,46.34946441650391,2919700,67.0,negative
EA,2008-03-14,46.26120323789954,47.7323036735687,45.32950928827056,46.0062141418457,3993800,72.0,negative
EA,2008-03-17,45.98659087129233,46.251389351732925,44.61356628603143,44.97643661499024,4851900,67.0,negative
EA,2008-03-18,45.40796242600356,46.15332201594524,44.60376121767808,46.06505584716797,3557200,74.0,negative
EA,2008-03-19,46.47696187030397,47.48711621949979,45.96697998046875,45.96697998046875,2504600,71.0,negative
EA,2008-03-20,46.19254985433624,47.52634811401367,45.49622991445225,47.52634811401367,4172900,79.0,negative
