Symbol,Date,Open,High,Low,Close,Volume,Trends,Sentiment
FAST,2008-03-17,6.795240746947108,7.151483058551653,6.726988721219383,6.968368053436279,11655600,94.0,neutral
FAST,2008-03-18,7.016647055997506,7.149821720014415,6.923424473672226,7.109869003295898,8244400,94.0,neutral
FAST,2008-03-19,7.158144712344337,7.397859097357361,7.129845375271219,7.184779644012451,10050400,99.0,neutral
FAST,2008-03-20,7.196430987445785,7.549343922174405,7.136502244090093,7.51438570022583,12142000,87.0,positive
FAST,2008-03-24,7.524371949707662,7.824014948385186,7.491078142070923,7.774074554443359,9327600,89.0,positive
FAST,2008-03-25,7.740780489399505,7.822350283645716,7.609270302872154,7.814026355743408,7560000,87.0,positive
FAST,2008-03-26,7.769081850295842,7.81402840564795,7.589296263914115,7.704159259796143,5860800,95.0,positive
FAST,2008-03-27,7.717478437755243,7.800712673477319,7.600950380738971,7.607609272003174,4951200,90.0,positive
FAST,2008-03-28,7.722472419715622,7.722472419715622,7.572651173889991,7.617597103118896,4446400,87.0,neutral
FAST,2008-03-31,7.617595991237889,7.680854180034163,7.437810395483664,7.645895957946777,7456400,82.0,neutral
FAST,2008-04-01,7.672531261925238,7.848988056182861,7.547679918306382,7.848988056182861,9351600,88.0,negative
FAST,2008-04-02,7.848987322338623,7.987155799478119,7.722470950351887,7.942209243774414,10479600,92.0,negative
FAST,2008-04-03,7.885608743719781,8.10867644813386,7.867297116226394,8.042089462280273,9966800,85.0,neutral
FAST,2008-04-04,8.10201984326494,8.10201984326494,7.925563677728886,7.972174644470215,7330800,82.0,neutral
FAST,2008-04-07,8.048749512763402,8.151960411666224,7.973839216337066,8.025444030761719,6552400,90.0,neutral
FAST,2008-04-08,7.997146498253551,8.180261585217641,7.997146498253551,8.136980056762695,10256800,86.0,negative
FAST,2008-04-09,8.168607604342865,8.17027264462369,7.747442587100722,7.794053554534912,10912400,93.0,neutral
FAST,2008-04-10,7.745774709301116,8.043753307729247,7.635905587007007,7.948866367340088,10217200,90.0,negative
FAST,2008-04-11,8.191912426038044,8.533172627945744,8.185253535506492,8.271817207336426,22782000,83.0,negative
FAST,2008-04-14,8.032100592305358,8.22686832258063,8.012124561385821,8.128652572631836,10676000,92.0,negative
FAST,2008-04-15,8.180258630037894,8.240187367038807,7.9804963850437405,8.107012748718262,9720000,83.0,negative
FAST,2008-04-16,8.140305979240102,8.306774398978947,8.12199435146457,8.298450469970703,7544400,96.0,negative
FAST,2008-04-17,8.256832658698206,8.298449760072748,8.131981354574584,8.233527183532715,5256000,87.0,positive
FAST,2008-04-18,8.381683969595475,8.456594879135501,8.268485402963117,8.325084686279297,6874000,88.0,positive
FAST,2008-04-21,8.275146300069812,8.361709968212018,8.16194770596283,8.341733932495117,7011600,86.0,negative
FAST,2008-04-22,8.281805734460136,8.313434512675574,8.023779753155676,8.14863109588623,5628800,86.0,negative
FAST,2008-04-23,8.11034094636119,8.228533362256092,8.045418369602764,8.128652572631836,3742400,88.0,positive
FAST,2008-04-24,8.156955177580892,8.280142127021469,7.990486704569037,8.151961326599121,5282800,88.0,positive
FAST,2008-04-25,8.15029248463482,8.291791001710482,8.060399398731674,8.243515014648438,7127200,89.0,positive
FAST,2008-04-28,8.263495281912025,8.488228111915792,8.256836390276316,8.345065116882324,5359600,91.0,positive
FAST,2008-04-29,8.31343449204751,8.419974837669043,8.16860711264692,8.211889266967773,5284400,88.0,positive
FAST,2008-04-30,8.218546163103914,8.340068040088184,8.033766105283089,8.125324249267578,8021600,94.0,positive
FAST,2008-05-01,8.14030845844842,8.321759116627348,8.107014637355377,8.276812553405762,6374800,95.0,positive
FAST,2008-05-02,8.355051957423477,8.697977220964946,8.353387552199674,8.61640739440918,8802000,91.0,positive
FAST,2008-05-05,8.589772700226344,8.628061006714171,8.454933647478153,8.508203506469727,4462400,93.0,positive
FAST,2008-05-06,8.409987073539257,8.488227456651794,8.331746690426721,8.429963111877441,4322000,97.0,neutral
FAST,2008-05-07,8.443280601502106,8.529844278003281,8.285135435490856,8.310105323791504,3192000,97.0,positive
FAST,2008-05-08,8.365041220910193,8.509868622449774,8.343400140441611,8.403328895568848,4712800,92.0,negative
FAST,2008-05-09,8.306776009324183,8.336740381488175,8.161947998855972,8.291793823242188,4708400,92.0,positive
FAST,2008-05-12,8.326753585029568,8.519856999657254,8.245183749053876,8.496551513671875,3605600,93.0,positive
FAST,2008-05-13,8.52318328639778,8.52318328639778,8.326750498719028,8.454931259155273,4426800,92.0,positive
FAST,2008-05-14,8.50487079125417,8.571458406907805,8.419972184571025,8.449935913085938,4904800,90.0,positive
FAST,2008-05-15,8.453268579948034,8.626395938626287,8.373363791718106,8.599761009216309,3948800,82.0,positive
FAST,2008-05-16,8.651366837948713,8.651366837948713,8.361711412405525,8.473245620727539,5712400,90.0,positive
FAST,2008-05-19,8.431626184072673,8.446608368085894,8.110342065254358,8.125324249267578,9792400,92.0,negative
FAST,2008-05-20,8.110340954854523,8.2035628559277,8.025441712061081,8.093693733215332,4180400,88.0,negative
FAST,2008-05-21,8.126990105674974,8.220212671188078,7.8090353748517245,7.8389997482299805,9789200,87.0,positive
FAST,2008-05-22,7.812361495365962,7.88227791347497,7.6342403711055775,7.674192428588867,7700800,87.0,positive
FAST,2008-05-23,7.6458970423851635,7.674196378081083,7.494410756827374,7.574315547943115,6354400,89.0,positive
FAST,2008-05-27,7.625919711646876,7.814028597711462,7.590960855495943,7.7507710456848145,10835600,85.0,positive
FAST,2008-05-28,7.810698475431096,7.923897059280242,7.784063551879924,7.9122443199157715,5026000,94.0,negative
FAST,2008-05-29,7.912245338910671,8.170271948137305,7.903922043296497,8.058737754821777,6406400,89.0,negative
FAST,2008-05-30,8.068723981697117,8.256832826514124,7.948866524093895,8.23019790649414,8444000,83.0,negative
FAST,2008-06-02,8.221877129120127,8.24851205729095,7.848988134728589,7.960521697998047,6873200,85.0,positive
FAST,2008-06-03,8.012129077897445,8.205232512378027,7.917242083757749,8.18858528137207,10964800,88.0,positive
FAST,2008-06-04,8.171938247795014,8.40499438918307,8.105350597390743,8.306777954101562,7467600,88.0,positive
FAST,2008-06-05,8.351722835196258,8.48156867361619,8.198572147607129,8.474909782409668,4684000,85.0,negative
FAST,2008-06-06,8.383350533677199,8.404991608152056,8.097024620715572,8.11866569519043,7720800,90.0,negative
FAST,2008-06-09,8.14863252186063,8.20689623798674,7.950534616978102,8.123661994934082,4918000,86.0,positive
FAST,2008-06-10,8.048751290183755,8.148632765853808,7.9605231931147395,8.043757438659668,3545200,85.0,positive
FAST,2008-06-11,8.043758332131619,8.048752184210407,7.770750078023777,7.785732269287109,4751600,90.0,positive
FAST,2008-06-12,7.873957921841803,8.032103083654869,7.843993548655042,7.940545558929443,4568000,85.0,positive
FAST,2008-06-13,8.028774125912836,8.140308329554472,7.96052207951487,8.075385093688965,5207200,83.0,positive
FAST,2008-06-16,7.998809193172474,8.178595430676102,7.925563301056235,8.161948204040527,4240800,85.0,negative
FAST,2008-06-17,8.193578747090557,8.193578747090557,7.953863730693891,7.970510959625244,3646800,90.0,negative
FAST,2008-06-18,7.908914993347394,8.118665575097388,7.855645145448562,8.045419692993164,5976400,80.0,positive
FAST,2008-06-19,7.945540998452765,8.326753995212085,7.918906065296436,8.306777954101562,5356800,87.0,negative
FAST,2008-06-20,8.211890860683026,8.321760037934986,8.020451844473797,8.105350494384766,7782800,87.0,negative
FAST,2008-06-23,8.175269133906152,8.21688626398303,7.962189631121182,7.975506782531738,4228800,84.0,negative
FAST,2008-06-24,8.025442167670478,8.025442167670478,7.799045020737355,7.885608673095703,4276400,75.0,positive
FAST,2008-06-25,7.952199864083055,8.003805324726288,7.807372455215781,7.897264957427978,6534400,90.0,neutral
FAST,2008-06-26,7.767416233385436,7.784062820906697,7.329604123288905,7.339592456817627,11897600,88.0,negative
