Date,Open,High,Low,Close,Volume,Trends,Sentiment
2008-01-02,48.61904018114444,48.63999211059159,47.55770482598868,47.578651428222656,3736000,74.0,neutral
2008-01-03,47.84399511077245,48.09536505072235,46.71981968632603,46.86645126342773,3501000,74.0,neutral
2008-01-04,46.712826042487656,46.712826042487656,45.651485331817575,45.84001541137695,4936000,75.0,negative
2008-01-07,45.84001510142338,46.53127962496925,45.24650494172386,46.070438385009766,3973500,79.0,negative
2008-01-08,46.091375152512136,46.69186916069741,45.323303031664885,45.365196228027344,5856600,81.0,negative
2008-01-09,45.574671688512666,47.02702966977959,45.31632318446132,46.971168518066406,8802400,83.0,negative
2008-01-10,46.45447506798384,49.19160809890282,46.27292895379844,48.77964401245117,10950500,85.0,negative
2008-01-11,48.44446234607641,48.52127008082966,46.08438514579976,46.3846321105957,8229300,78.0,negative
2008-01-14,46.76868958465739,46.76868958465739,44.42257139889416,45.18366241455078,10121500,83.0,negative
2008-01-15,44.7297857877953,45.113824495652864,44.48539994061864,44.673927307128906,6862100,84.0,negative
2008-01-16,44.68788574713615,45.45595771797283,44.49935840950775,44.75770950317383,9600600,75.0,negative
2008-01-17,44.75074015318816,45.77716621671506,44.74376150435166,44.89737701416016,7161200,82.0,negative
2008-01-18,44.49238864362,45.96569318529561,44.44351146899054,45.05796813964844,7358100,81.0,negative
2008-01-22,43.8011174639624,46.64299062035003,43.55673161366658,46.18214416503906,9818400,85.0,negative
2008-01-23,45.60259676796768,48.17913481265672,45.19063280996469,47.90681838989258,10043800,80.0,negative
2008-01-24,47.74622119682572,47.76018914733999,46.15421577978309,46.88737869262695,6217400,79.0,positive
2008-01-25,46.98513218688222,47.46692525387061,45.66544322942127,45.70733642578125,5562900,78.0,negative
2008-01-28,45.65148003919139,46.34274981448198,45.38614755589198,46.33576583862305,5407900,82.0,negative
2008-01-29,46.43351917491783,46.64299582839648,45.60260186392179,46.5592041015625,5705200,85.0,negative
2008-01-30,46.46143892463189,47.20158036062893,45.84698238599392,46.2449836730957,5766000,83.0,negative
2008-01-31,45.82606013453444,48.5841456881193,45.60960474285093,47.43901824951172,7975200,83.0,negative
2008-02-01,47.5577136359013,47.77416900203426,46.76171064027421,47.33427429199219,6057300,75.0,negative
2008-02-04,47.47390375467688,47.641487194021806,46.4474778293408,46.7686767578125,4288100,86.0,negative
2008-02-05,46.0285256979698,46.69186476546905,44.98813724427677,45.29536819458008,6934300,89.0,negative
2008-02-06,45.56769602771089,45.79811397101354,44.47144349411502,44.48540878295898,7394000,79.0,negative
2008-02-07,44.91133895951043,45.65846456910042,44.20610921476333,45.21158599853516,8453100,81.0,negative
2008-02-08,45.11382994781916,45.8050943782926,43.95473770014695,44.15723037719727,7423400,72.0,neutral
2008-02-11,44.17816818371693,44.862451165914536,43.97567554697116,44.68788909912109,4825100,86.0,neutral
2008-02-12,44.98813330532772,45.76318926048778,44.69487032964855,44.97417068481445,4451900,81.0,negative
2008-02-13,45.62150441816206,46.08338524029476,45.24359901501861,45.96441650390625,4922500,80.0,negative
2008-02-14,46.006419064021536,46.18137502903144,44.59977427997295,44.79572677612305,4277400,77.0,negative
2008-02-15,44.50879508002537,44.77472888626302,44.1658828939969,44.73273849487305,4250900,71.0,negative
