Date,Open,High,Low,Close,Volume,Trends,Sentiment
2008-05-13,32.2503361250938,32.38791454044743,31.74588670447282,31.887287139892575,3807411,95.0,negative
2008-05-14,31.887298631842885,32.47582044285168,31.83379441935656,32.257991790771484,4185110,64.0,negative
2008-05-15,32.33824123502815,32.33824123502815,31.93315400573942,32.20448684692383,3226983,67.0,negative
2008-05-16,32.19301487501993,32.63631814636559,32.07454654925396,32.506385803222656,4353911,46.0,negative
2008-05-19,32.48346644886294,33.12167048948409,32.48346644886294,32.93441390991211,4376203,73.0,negative
2008-05-20,33.62995211603183,34.00064540728122,33.25543680197459,33.79045867919922,7343536,74.0,negative
2008-05-21,33.82102077020605,34.6311953481592,33.56497597575133,34.26432418823242,6543274,52.0,negative
2008-05-22,34.378967685553974,34.53947212501299,34.092346775487314,34.42482376098633,4105757,80.0,negative
2008-05-23,34.210827264917064,34.390439818097484,33.714019584592705,33.75605773925781,3087484,71.0,negative
2008-05-27,34.31782208940287,34.64265710203982,34.061777326811985,34.543296813964844,5242078,89.0,negative
2008-05-28,34.06941070054327,34.39424563094693,33.77514988815177,33.94329833984375,6301710,61.0,negative
2008-05-29,33.817199382509344,34.47068943920298,33.817199382509344,34.16114044189453,3435601,81.0,negative
2008-05-30,34.115266091886866,34.256664469917524,33.56495861470529,33.62992477416992,6510748,69.0,negative
2008-06-02,33.446508041620085,33.668160788964215,33.18281918430042,33.35478973388672,2971960,69.0,negative
2008-06-03,33.53823125662068,33.629949577774134,32.96881530482766,33.17136001586914,4106879,76.0,negative
2008-06-04,33.14459487308546,33.81337292817666,33.007018467367175,33.45796585083008,3390457,53.0,negative
2008-06-05,33.51147469839994,34.336937385097166,33.285999939759705,34.27579116821289,3810636,70.0,negative
2008-06-06,33.89744047800777,34.3904238637304,33.26687866987097,33.40445709228516,6425787,73.0,positive
2008-06-09,33.45032428062442,33.95859384145444,33.2477796342353,33.855411529541016,3675483,62.0,positive
2008-06-10,33.71018228426039,34.07705535614006,33.37770535124793,33.95094299316406,4392466,74.0,positive
2008-06-11,33.95094428750836,34.11909274864608,33.43120877843854,33.46560287475586,3854799,64.0,positive
2008-06-12,33.59172920132836,33.72166364355438,33.26307413951929,33.51529693603516,2838629,80.0,positive
2008-06-13,33.782809357832384,34.37515739694473,33.54587259482202,34.29872512817383,3902747,73.0,positive
2008-06-16,34.138203321249065,34.149667338892385,33.33949096632594,34.05794906616211,3907094,60.0,positive
2008-06-17,34.17259724374287,34.54329030941356,33.98151665825388,34.0999870300293,2320310,70.0,positive
2008-06-18,33.95096023984602,34.570056308309944,33.93567419472942,34.43247985839844,5377651,60.0,positive
2008-06-19,34.275780510562456,34.833732157143565,34.24138641296634,34.566219329833984,4241471,64.0,positive
2008-06-20,34.55093825945981,34.89870128544538,34.004450584537565,34.229923248291016,6183521,57.0,positive
2008-06-23,34.36368102377162,35.078317208400435,34.19553049168068,34.7458381652832,3570333,71.0,positive
2008-06-24,34.57004563492449,35.09742322600064,34.57004563492449,34.7458381652832,4474623,76.0,positive
2008-06-25,34.8069800139628,34.822264007687785,34.149666090730655,34.45539093017578,5310496,85.0,positive
2008-06-26,34.168775975534174,34.35985452136881,33.41210174560547,33.41210174560547,4779979,61.0,positive
2008-06-27,33.381532455447086,33.855407860956646,33.071983509387984,33.24777603149414,6352883,70.0,positive
2008-06-30,33.36242419210447,34.58533188536707,33.09873541054795,34.37896728515625,7131133,76.0,negative
2008-07-01,34.17642449030145,34.77259232923971,33.69872499739294,34.52800750732422,4857650,63.0,negative
2008-07-02,34.592980040936354,35.15857794676565,34.51655186874476,34.600624084472656,4625478,69.0,positive
2008-07-03,34.592973509747665,35.07831704226004,34.36368086101593,34.570045471191406,3537386,74.0,positive
2008-07-07,34.7840624813634,35.20825786677954,34.11528630426153,34.359867095947266,6180296,55.0,positive
2008-07-08,34.35604457721865,34.956032525724886,33.691090431696445,34.02738952636719,6652069,82.0,positive
2008-07-09,34.17643453265069,34.65413212206357,33.85541941438695,34.340763092041016,4743527,69.0,positive
2008-07-10,34.41336796647321,35.06685599211516,34.218465303851964,35.020999908447266,4386718,63.0,positive
2008-07-11,34.68851506739411,35.189142584923964,34.11527732708593,34.60443878173828,5789279,73.0,neutral
2008-07-14,34.94456780991582,34.94456780991582,33.7369459198357,33.77898406982422,5535517,81.0,positive
2008-07-15,33.77133906913964,34.218464488310495,33.0796328879159,33.39682388305664,7184829,87.0,positive
2008-07-16,33.438877404432816,33.45416345360573,31.967566046496295,32.433799743652344,9022711,64.0,positive
