Date,Open,High,Low,Close,Volume,Trends,Sentiment
2012-11-19,13.763720601052478,14.090455489203148,13.477826989672575,13.984267234802246,77200,43.0,positive
2012-11-20,14.000604022982678,14.123130979893896,13.747384657489782,13.992435455322266,251400,47.0,negative
2012-11-21,13.984269823930816,14.27833049871309,13.76372314934776,14.049616813659668,33100,44.0,negative
2012-11-23,14.090457042917988,14.33550784655334,13.935257369684926,14.147635459899902,94000,42.0,negative
2012-11-26,14.131298851419151,14.22932011132739,13.935257889597745,14.098626136779783,77400,44.0,positive
2012-11-27,13.943426546169098,14.155804645654374,13.829069707213597,14.07412052154541,55800,40.0,positive
2012-11-28,14.253827132203869,14.286499849860697,13.869912183268436,14.090458869934082,94000,45.0,positive
2012-11-29,14.261991141729489,14.988978042043138,14.049614626666052,14.833778381347656,164400,42.0,positive
2012-11-30,15.062493148047505,15.095165857872416,14.515211626025325,14.703083992004396,44200,48.0,positive
2012-12-03,14.71125255994867,15.111502992798547,14.204812314672283,14.784768104553224,47600,50.0,positive
2012-12-04,14.890958218537056,14.890958218537056,14.221151224491312,14.564223289489746,30100,45.0,positive
2012-12-05,14.360014512242785,14.784770721131608,14.360014512242785,14.686749458312988,33000,45.0,positive
2012-12-06,14.507046553823088,14.523383691668588,14.147637311198164,14.39268970489502,41900,52.0,positive
2012-12-07,14.44169910267794,14.580561653972731,14.376352111362458,14.49887752532959,42500,48.0,positive
2012-12-10,14.613234833828406,14.637740540596656,14.180311586889166,14.39268970489502,72300,60.0,negative
2012-12-11,14.221149360593794,14.57238994753238,14.049614129574392,14.32733917236328,72200,50.0,positive
2012-12-12,14.270163581939288,14.523384559693246,14.270163581939288,14.40902614593506,58000,50.0,positive
2012-12-13,14.221149192709852,14.686746594831554,14.12312950699729,14.605062484741213,135900,43.0,neutral
2012-12-14,14.237487955184925,14.417191771547074,14.090456851799988,14.351844787597656,44700,42.0,neutral
2012-12-17,14.425361501456823,15.111505667201811,14.294667523028744,14.686749458312988,107600,44.0,neutral
2012-12-18,14.645908560693266,15.72413469016845,14.458036156495806,15.35655689239502,142600,40.0,neutral
2012-12-19,15.35655564398354,16.246909296879945,14.809274055120566,15.66695499420166,192600,44.0,neutral
2012-12-20,15.479084089053025,15.536262512207031,15.062496431508588,15.536262512207031,200500,44.0,neutral
2012-12-21,15.209523305688192,15.666952121184115,14.441695196895406,15.503583908081056,1936500,43.0,neutral
2012-12-24,15.56076406809396,15.887500531104951,14.71125331505218,15.225860595703123,159000,51.0,neutral
2012-12-26,15.315711012540332,15.519920492707536,14.923629184538024,15.234026908874512,81300,53.0,neutral
2012-12-27,15.168682535202766,15.920173613231956,15.021651435023909,15.14417839050293,162100,45.0,neutral
2012-12-28,15.037985921958027,15.45457344643856,14.956301818688273,15.340216636657717,66400,50.0,neutral
2012-12-31,15.307544440956516,15.699626320047326,15.168681914029158,15.61794376373291,125600,50.0,neutral
2013-01-02,15.895666203114,16.27141248076552,15.193186605930812,15.715962409973145,189700,59.0,neutral
2013-01-03,15.715963364942422,15.895667169002849,15.23402880705844,15.634279251098633,89100,63.0,neutral
2013-01-04,15.724133664143386,16.73701273658854,15.495418431786716,16.37760353088379,173300,67.0,positive
2013-01-07,16.246906661777047,17.349638228602387,16.042697170068458,16.96572494506836,210300,66.0,positive
2013-01-08,16.900381707816095,17.23528522364757,16.647160760337563,16.826866149902344,229400,58.0,positive
2013-01-09,16.91671739177523,17.12909549840144,16.663498000718842,16.72067642211914,171800,73.0,positive
2013-01-10,16.777856896709295,17.962271318088614,16.614488638176542,17.668209075927734,235200,68.0,positive
2013-01-11,17.643703539419086,17.79073464893013,16.78602258660302,17.700881958007812,166300,64.0,positive
2013-01-14,17.709050079901388,18.35435136228049,17.709050079901388,17.807069778442383,130400,61.0,positive
2013-01-15,17.700875118247158,18.705585234351133,17.292456219863972,17.741716384887695,59300,61.0,positive
2013-01-16,17.218950223733177,17.578359489472025,16.385774835973027,17.3823184967041,239500,64.0,positive
2013-01-17,17.45583077002184,17.815238409949174,16.957559033674595,17.25162124633789,129800,61.0,positive
2013-01-18,17.2924641904238,17.798904543368433,16.589982862854033,16.777856826782227,119400,69.0,positive
2013-01-22,16.826861153759406,17.880581240999607,16.826861153759406,17.798898696899414,160100,67.0,positive
2013-01-23,17.758058292366666,17.758058292366666,17.112757069466614,17.504838943481445,42700,68.0,positive
2013-01-24,17.349639284102498,18.45237091801473,17.30879800647403,17.504838943481445,114500,69.0,negative
2013-01-25,17.60286023936053,18.55039230036213,17.60286023936053,17.97043800354004,71200,70.0,negative
2013-01-28,18.133808766484048,18.174650053518583,17.431327411924407,17.67637825012207,91000,66.0,negative
2013-01-29,17.709047758292964,18.1011296170461,17.66820492425942,18.076623916625977,113700,60.0,negative
2013-01-30,18.003108257095064,18.689250667105505,18.003108257095064,18.51771545410156,340500,65.0,negative
2013-01-31,18.403359754013497,18.403359754013497,17.60285737112378,18.313507080078125,260400,63.0,positive
2013-02-01,18.42786649435358,18.74643440232434,18.26449981451766,18.542224884033203,93600,64.0,negative
2013-02-04,18.501382579569075,18.550392429134885,17.847912725374837,18.411531448364254,80100,65.0,negative
2013-02-05,18.444201296727265,18.501379705337087,18.10112928707356,18.485042572021484,38700,65.0,negative
2013-02-06,18.370685754801844,18.648410789187928,18.141970562367774,18.485042572021484,136100,65.0,negative
2013-02-07,18.019444916649466,18.534053702649626,17.970435075409608,18.313507080078125,61300,64.0,negative
2013-02-08,18.289009020884745,18.58307130716099,18.003116862555522,18.01128387451172,96400,65.0,negative
2013-02-11,18.0766300458503,18.0766300458503,17.398654350961092,17.611032485961914,59100,66.0,negative
2013-02-12,17.5783527571584,17.77439367484483,17.19443793011043,17.61919403076172,154700,64.0,negative
2013-02-13,17.6028639163855,17.978610326923977,17.341475921921514,17.611032485961914,321700,59.0,positive
2013-02-14,17.60286023936053,18.730097677514344,17.60286023936053,17.97043800354004,379500,62.0,positive
2013-02-15,18.027617938342647,18.50138400872881,17.725388691679917,18.215490341186523,146500,64.0,positive
2013-02-19,18.231828247813606,18.640247344970703,18.15831268568571,18.640247344970703,102000,61.0,positive
2013-02-20,18.63208002034901,19.01599499443209,17.325138510567555,17.3823184967041,96200,65.0,positive
2013-02-21,17.390486401318565,17.390486401318565,16.786024749231736,16.933055877685547,76900,58.0,positive
