Date,Open,High,Low,Close,Volume,Trends,Sentiment
2008-01-02,2.653749942779541,2.681874990463257,2.569999933242798,2.5824999809265137,12700800,0.0,neutral
2008-01-03,2.601875066757202,2.6162500381469727,2.567500114440918,2.6156249046325684,10627200,0.0,neutral
2008-01-04,2.578749895095825,2.602499961853028,2.531874895095825,2.539999961853028,8043200,0.0,neutral
2008-01-07,2.5431249141693115,2.6475000381469727,2.518749952316284,2.641875028610229,15220800,0.0,neutral
2008-01-08,2.645625114440918,2.666874885559082,2.585624933242798,2.585624933242798,13491200,0.0,neutral
2008-01-09,2.580625057220459,2.634999990463257,2.546875,2.630625009536743,10614400,0.0,neutral
2008-01-10,2.616874933242798,2.6681249141693115,2.563124895095825,2.656874895095825,7740800,0.0,neutral
2008-01-11,2.630625009536743,2.6362500190734863,2.586874961853028,2.587500095367432,8673600,0.0,neutral
2008-01-14,2.610625028610229,2.610625028610229,2.541874885559082,2.580625057220459,9315200,0.0,neutral
2008-01-15,2.5350000858306885,2.563124895095825,2.446875095367432,2.505625009536743,11220800,0.0,neutral
2008-01-16,2.4906249046325684,2.548125028610229,2.454375028610229,2.515000104904175,6729600,0.0,neutral
2008-01-17,2.5199999809265137,2.541874885559082,2.453125,2.4568750858306885,8500800,0.0,neutral
2008-01-18,2.461250066757202,2.479374885559082,2.4131250381469727,2.463124990463257,13014400,0.0,neutral
2008-01-22,2.448124885559082,2.448124885559082,2.368124961853028,2.4043750762939453,18964800,0.0,neutral
2008-01-23,2.385624885559082,2.443125009536743,2.359375,2.4356250762939453,19089600,0.0,neutral
2008-01-24,2.440624952316284,2.453749895095825,2.407500028610229,2.4437499046325684,11881600,0.0,neutral
2008-01-25,2.484375,2.486875057220459,2.440000057220459,2.4725000858306885,10313600,0.0,neutral
2008-01-28,2.46875,2.556874990463257,2.438124895095825,2.556874990463257,10760000,0.0,neutral
2008-01-29,2.561875104904175,2.561875104904175,2.5062499046325684,2.5350000858306885,6243200,0.0,neutral
2008-01-30,2.525000095367432,2.5768749713897705,2.516249895095825,2.521250009536743,4464000,0.0,neutral
2008-01-31,2.5,2.580625057220459,2.487499952316284,2.555000066757202,12814400,0.0,neutral
2008-02-01,2.5643749237060547,2.593125104904175,2.53125,2.5625,8404800,0.0,neutral
2008-02-04,2.568125009536743,2.586250066757202,2.500624895095825,2.5425000190734863,7235200,0.0,neutral
2008-02-05,2.5018749237060547,2.521250009536743,2.4568750858306885,2.458750009536743,6777600,0.0,neutral
2008-02-06,2.4668750762939453,2.476249933242798,2.393125057220459,2.3975000381469727,9371200,0.0,neutral
2008-02-07,2.3787500858306885,2.453749895095825,2.3787500858306885,2.438124895095825,6788800,0.0,neutral
2008-02-08,2.4375,2.466249942779541,2.391875028610229,2.411250114440918,9492800,0.0,neutral
