date,AZN,isPartial
2008-01-01,92,False
2008-01-02,62,False
2008-01-03,90,False
2008-01-04,56,False
2008-01-05,63,False
2008-01-06,87,False
2008-01-07,35,False
2008-01-08,57,False
2008-01-09,62,False
2008-01-10,43,False
2008-01-11,48,False
2008-01-12,64,False
2008-01-13,58,False
2008-01-14,60,False
2008-01-15,55,False
2008-01-16,44,False
2008-01-17,53,False
2008-01-18,62,False
2008-01-19,62,False
2008-01-20,100,False
2008-01-21,57,False
2008-01-22,49,False
2008-01-23,61,False
2008-01-24,47,False
2008-01-25,64,False
2008-01-26,62,False
2008-01-27,76,False
2008-01-28,35,False
2008-01-29,53,False
2008-01-30,60,False
2008-01-31,65,False
2008-02-01,63,False
2008-02-02,82,False
2008-02-03,82,False
2008-02-04,63,False
2008-02-05,56,False
2008-02-06,48,False
2008-02-07,43,False
2008-02-08,87,False
2008-02-09,76,False
2008-02-10,100,False
2008-02-11,67,False
2008-02-12,58,False
2008-02-13,32,False
2008-02-14,47,False
2008-02-15,60,False
2008-02-16,49,False
2008-02-17,63,False
2008-02-18,43,False
2008-02-19,58,False
2008-02-20,50,False
2008-02-21,59,False
2008-02-22,46,False
2008-02-23,64,False
2008-02-24,83,False
2008-02-25,69,False
2008-02-26,52,False
2008-02-27,47,False
2008-02-28,55,False
2008-02-29,52,False
2008-03-01,64,False
2008-03-02,61,False
2008-03-03,47,False
2008-03-04,54,False
2008-03-05,49,False
2008-03-06,38,False
2008-03-07,51,False
2008-03-08,46,False
2008-03-09,75,False
2008-03-10,68,False
2008-03-11,76,False
2008-03-12,53,False
2008-03-13,60,False
2008-03-14,45,False
2008-03-15,81,False
2008-03-16,99,False
2008-03-17,48,False
2008-03-18,67,False
2008-03-19,58,False
2008-03-20,64,False
2008-03-21,63,False
2008-03-22,47,False
2008-03-23,92,False
2008-03-24,63,False
2008-03-25,52,False
2008-03-26,65,False
2008-03-27,52,False
2008-03-28,57,False
2008-03-29,52,False
2008-03-30,57,False
2008-03-31,65,False
2008-04-01,69,False
2008-04-02,71,False
2008-04-03,58,False
2008-04-04,39,False
2008-04-05,57,False
2008-04-06,72,False
2008-04-07,59,False
2008-04-08,59,False
2008-04-09,70,False
2008-04-10,73,False
2008-04-11,61,False
2008-04-12,81,False
2008-04-13,45,False
2008-04-14,65,False
2008-04-15,41,False
2008-04-16,48,False
2008-04-17,52,False
2008-04-18,61,False
2008-04-19,66,False
2008-04-20,88,False
2008-04-21,49,False
2008-04-22,60,False
2008-04-23,51,False
2008-04-24,78,False
2008-04-25,56,False
2008-04-26,58,False
2008-04-27,50,False
2008-04-28,68,False
2008-04-29,38,False
2008-04-30,34,False
2008-05-01,61,False
2008-05-02,65,False
2008-05-03,66,False
2008-05-04,67,False
2008-05-05,49,False
2008-05-06,49,False
2008-05-07,33,False
2008-05-08,50,False
2008-05-09,54,False
2008-05-10,63,False
2008-05-11,63,False
2008-05-12,57,False
2008-05-13,45,False
2008-05-14,43,False
2008-05-15,52,False
2008-05-16,58,False
2008-05-17,48,False
2008-05-18,63,False
2008-05-19,50,False
2008-05-20,35,False
2008-05-21,44,False
2008-05-22,37,False
2008-05-23,60,False
2008-05-24,78,False
2008-05-25,49,False
2008-05-26,67,False
2008-05-27,40,False
2008-05-28,42,False
2008-05-29,38,False
2008-05-30,60,False
2008-05-31,63,False
2008-06-01,41,False
2008-06-02,47,False
2008-06-03,35,False
2008-06-04,48,False
2008-06-05,54,False
2008-06-06,44,False
2008-06-07,68,False
2008-06-08,53,False
2008-06-09,52,False
2008-06-10,37,False
2008-06-11,34,False
2008-06-12,38,False
2008-06-13,45,False
2008-06-14,52,False
2008-06-15,65,False
2008-06-16,48,False
2008-06-17,44,False
2008-06-18,40,False
2008-06-19,53,False
2008-06-20,46,False
2008-06-21,53,False
2008-06-22,79,False
2008-06-23,56,False
2008-06-24,57,False
2008-06-25,63,False
2008-06-26,40,False
2008-06-27,53,False
2008-06-28,37,False
2008-06-29,46,False
2008-06-30,36,False
2008-07-01,64,False
2008-07-02,70,False
2008-07-03,73,False
2008-07-04,82,False
2008-07-05,88,False
2008-07-06,0,False
2008-07-07,45,False
2008-07-08,45,False
2008-07-09,65,False
2008-07-10,56,False
2008-07-11,67,False
2008-07-12,37,False
2008-07-13,64,False
2008-07-14,57,False
2008-07-15,57,False
2008-07-16,61,False
2008-07-17,46,False
2008-07-18,59,False
2008-07-19,41,False
2008-07-20,49,False
2008-07-21,49,False
2008-07-22,59,False
2008-07-23,85,False
2008-07-24,61,False
2008-07-25,50,False
2008-07-26,61,False
2008-07-27,67,False
2008-07-28,48,False
2008-07-29,52,False
2008-07-30,65,False
2008-07-31,40,False
2008-08-01,36,False
2008-08-02,80,False
2008-08-03,53,False
2008-08-04,45,False
2008-08-05,70,False
2008-08-06,36,False
2008-08-07,38,False
2008-08-08,43,False
2008-08-09,56,False
2008-08-10,82,False
2008-08-11,28,False
2008-08-12,52,False
2008-08-13,46,False
2008-08-14,48,False
2008-08-15,77,False
2008-08-16,0,False
2008-08-17,67,False
2008-08-18,49,False
2008-08-19,100,False
2008-08-20,72,False
2008-08-21,65,False
2008-08-22,62,False
2008-08-23,65,False
2008-08-24,87,False
2008-08-25,59,False
2008-08-26,76,False
2008-08-27,54,False
2008-08-28,75,False
2008-08-29,44,False
2008-08-30,52,False
2008-08-31,83,False
2008-09-01,71,False
2008-09-02,43,False
2008-09-03,37,False
2008-09-04,50,False
2008-09-05,62,False
2008-09-06,0,False
2008-09-07,96,False
2008-09-08,59,False
2008-09-09,50,False
2008-09-10,53,False
2008-09-11,44,False
2008-09-12,55,False
2008-09-13,76,False
2008-09-14,75,False
2008-09-15,46,False
2008-09-16,52,False
2008-09-17,34,False
2008-09-18,42,False
2008-09-19,74,False
2008-09-20,81,False
2008-09-21,68,False
2008-09-22,49,False
2008-09-23,46,False
2008-09-24,60,False
2008-09-25,0,False
2008-09-26,53,False
2008-09-27,65,False
2008-09-28,87,False
2008-09-29,51,False
2008-09-30,71,False
2008-10-01,50,False
2008-10-02,47,False
2008-10-03,62,False
2008-10-04,54,False
2008-10-05,48,False
2008-10-06,49,False
2008-10-07,32,False
2008-10-08,55,False
2008-10-09,57,False
2008-10-10,53,False
2008-10-11,92,False
2008-10-12,72,False
2008-10-13,36,False
2008-10-14,51,False
2008-10-15,35,False
2008-10-16,25,False
2008-10-17,63,False
2008-10-18,59,False
2008-10-19,44,False
2008-10-20,39,False
2008-10-21,37,False
2008-10-22,63,False
2008-10-23,40,False
2008-10-24,62,False
2008-10-25,62,False
2008-10-26,100,False
2008-10-27,47,False
2008-10-28,62,False
2008-10-29,49,False
2008-10-30,58,False
2008-10-31,43,False
2008-11-01,74,False
2008-11-02,64,False
2008-11-03,50,False
2008-11-04,53,False
2008-11-05,50,False
2008-11-06,51,False
2008-11-07,33,False
2008-11-08,61,False
2008-11-09,52,False
2008-11-10,44,False
2008-11-11,45,False
2008-11-12,66,False
2008-11-13,55,False
2008-11-14,51,False
2008-11-15,51,False
2008-11-16,59,False
2008-11-17,59,False
2008-11-18,50,False
2008-11-19,48,False
2008-11-20,43,False
2008-11-21,56,False
2008-11-22,54,False
