date,CEG,isPartial
2008-01-01,0,False
2008-01-02,65,False
2008-01-03,0,False
2008-01-04,84,False
2008-01-05,0,False
2008-01-06,0,False
2008-01-07,72,False
2008-01-08,65,False
2008-01-09,38,False
2008-01-10,64,False
2008-01-11,90,False
2008-01-12,90,False
2008-01-13,0,False
2008-01-14,45,False
2008-01-15,51,False
2008-01-16,0,False
2008-01-17,50,False
2008-01-18,0,False
2008-01-19,53,False
2008-01-20,0,False
2008-01-21,0,False
2008-01-22,69,False
2008-01-23,43,False
2008-01-24,47,False
2008-01-25,41,False
2008-01-26,56,False
2008-01-27,0,False
2008-01-28,38,False
2008-01-29,68,False
2008-01-30,49,False
2008-01-31,59,False
2008-02-01,53,False
2008-02-02,0,False
2008-02-03,0,False
2008-02-04,0,False
2008-02-05,41,False
2008-02-06,100,False
2008-02-07,60,False
2008-02-08,54,False
2008-02-09,0,False
2008-02-10,0,False
2008-02-11,53,False
2008-02-12,46,False
2008-02-13,50,False
2008-02-14,50,False
2008-02-15,61,False
2008-02-16,0,False
2008-02-17,0,False
2008-02-18,57,False
2008-02-19,52,False
2008-02-20,57,False
2008-02-21,51,False
2008-02-22,47,False
2008-02-23,0,False
2008-02-24,0,False
2008-02-25,43,False
2008-02-26,43,False
2008-02-27,68,False
2008-02-28,57,False
2008-02-29,61,False
2008-03-01,0,False
2008-03-02,0,False
2008-03-03,66,False
2008-03-04,51,False
2008-03-05,62,False
2008-03-06,40,False
2008-03-07,57,False
2008-03-08,0,False
2008-03-09,0,False
2008-03-10,0,False
2008-03-11,48,False
2008-03-12,53,False
2008-03-13,62,False
2008-03-14,0,False
2008-03-15,0,False
2008-03-16,0,False
2008-03-17,62,False
2008-03-18,48,False
2008-03-19,62,False
2008-03-20,39,False
2008-03-21,0,False
2008-03-22,0,False
2008-03-23,0,False
2008-03-24,53,False
2008-03-25,68,False
2008-03-26,56,False
2008-03-27,69,False
2008-03-28,0,False
2008-03-29,0,False
2008-03-30,0,False
2008-03-31,67,False
2008-04-01,65,False
2008-04-02,51,False
2008-04-03,52,False
2008-04-04,71,False
2008-04-05,0,False
2008-04-06,0,False
2008-04-07,47,False
2008-04-08,53,False
2008-04-09,40,False
2008-04-10,72,False
2008-04-11,48,False
2008-04-12,0,False
2008-04-13,0,False
2008-04-14,69,False
2008-04-15,36,False
2008-04-16,66,False
2008-04-17,41,False
2008-04-18,0,False
2008-04-19,0,False
2008-04-20,0,False
2008-04-21,0,False
2008-04-22,45,False
2008-04-23,36,False
2008-04-24,55,False
2008-04-25,55,False
2008-04-26,0,False
2008-04-27,0,False
2008-04-28,0,False
2008-04-29,68,False
2008-04-30,47,False
2008-05-01,0,False
2008-05-02,42,False
2008-05-03,0,False
2008-05-04,0,False
2008-05-05,67,False
2008-05-06,34,False
2008-05-07,43,False
2008-05-08,76,False
2008-05-09,46,False
2008-05-10,0,False
2008-05-11,0,False
2008-05-12,0,False
2008-05-13,47,False
2008-05-14,86,False
2008-05-15,53,False
2008-05-16,48,False
2008-05-17,0,False
2008-05-18,0,False
2008-05-19,34,False
2008-05-20,82,False
2008-05-21,77,False
2008-05-22,0,False
2008-05-23,0,False
2008-05-24,0,False
2008-05-25,0,False
2008-05-26,63,False
2008-05-27,48,False
2008-05-28,74,False
2008-05-29,43,False
2008-05-30,0,False
2008-05-31,63,False
2008-06-01,0,False
2008-06-02,72,False
2008-06-03,52,False
2008-06-04,51,False
2008-06-05,52,False
2008-06-06,0,False
2008-06-07,0,False
2008-06-08,0,False
2008-06-09,46,False
2008-06-10,42,False
2008-06-11,0,False
2008-06-12,57,False
2008-06-13,46,False
2008-06-14,0,False
2008-06-15,0,False
2008-06-16,0,False
2008-06-17,34,False
2008-06-18,39,False
2008-06-19,35,False
2008-06-20,0,False
2008-06-21,0,False
2008-06-22,51,False
2008-06-23,45,False
2008-06-24,0,False
2008-06-25,42,False
2008-06-26,37,False
2008-06-27,0,False
2008-06-28,0,False
2008-06-29,0,False
2008-06-30,53,False
2008-07-01,35,False
2008-07-02,27,False
2008-07-03,30,False
2008-07-04,0,False
2008-07-05,0,False
2008-07-06,0,False
2008-07-07,50,False
2008-07-08,44,False
2008-07-09,53,False
2008-07-10,43,False
2008-07-11,37,False
2008-07-12,0,False
2008-07-13,28,False
2008-07-14,69,False
2008-07-15,73,False
2008-07-16,68,False
2008-07-17,63,False
2008-07-18,50,False
2008-07-19,0,False
2008-07-20,0,False
2008-07-21,54,False
2008-07-22,35,False
2008-07-23,37,False
2008-07-24,23,False
2008-07-25,34,False
2008-07-26,0,False
2008-07-27,0,False
2008-07-28,27,False
2008-07-29,63,False
2008-07-30,37,False
2008-07-31,23,False
2008-08-01,31,False
2008-08-02,30,False
2008-08-03,0,False
2008-08-04,49,False
2008-08-05,35,False
2008-08-06,34,False
2008-08-07,25,False
2008-08-08,23,False
2008-08-09,0,False
2008-08-10,0,False
2008-08-11,21,False
2008-08-12,40,False
2008-08-13,38,False
2008-08-14,41,False
2008-08-15,29,False
2008-08-16,0,False
2008-08-17,0,False
2008-08-18,33,False
2008-08-19,26,False
2008-08-20,34,False
2008-08-21,18,False
2008-08-22,23,False
2008-08-23,0,False
2008-08-24,0,False
2008-08-25,21,False
2008-08-26,25,False
2008-08-27,28,False
2008-08-28,34,False
2008-08-29,0,False
2008-08-30,0,False
2008-08-31,0,False
2008-09-01,25,False
2008-09-02,24,False
2008-09-03,27,False
2008-09-04,30,False
2008-09-05,24,False
2008-09-06,0,False
2008-09-07,30,False
2008-09-08,38,False
2008-09-09,26,False
2008-09-10,32,False
2008-09-11,23,False
2008-09-12,23,False
2008-09-13,0,False
2008-09-14,0,False
2008-09-15,28,False
2008-09-16,58,False
2008-09-17,100,False
2008-09-18,90,False
2008-09-19,54,False
2008-09-20,40,False
2008-09-21,27,False
2008-09-22,61,False
2008-09-23,42,False
2008-09-24,47,False
2008-09-25,33,False
2008-09-26,39,False
2008-09-27,0,False
2008-09-28,0,False
2008-09-29,58,False
2008-09-30,39,False
2008-10-01,57,False
2008-10-02,43,False
2008-10-03,32,False
2008-10-04,27,False
2008-10-05,0,False
2008-10-06,39,False
2008-10-07,32,False
2008-10-08,21,False
2008-10-09,41,False
2008-10-10,36,False
2008-10-11,0,False
2008-10-12,0,False
2008-10-13,33,False
2008-10-14,39,False
2008-10-15,37,False
2008-10-16,32,False
2008-10-17,32,False
2008-10-18,0,False
2008-10-19,23,False
2008-10-20,31,False
2008-10-21,35,False
2008-10-22,22,False
2008-10-23,21,False
2008-10-24,19,False
2008-10-25,31,False
2008-10-26,29,False
2008-10-27,35,False
2008-10-28,26,False
2008-10-29,23,False
2008-10-30,31,False
2008-10-31,22,False
2008-11-01,0,False
2008-11-02,23,False
2008-11-03,36,False
2008-11-04,35,False
2008-11-05,36,False
2008-11-06,42,False
2008-11-07,17,False
2008-11-08,0,False
2008-11-09,0,False
2008-11-10,29,False
2008-11-11,24,False
2008-11-12,29,False
2008-11-13,33,False
2008-11-14,39,False
2008-11-15,0,False
2008-11-16,0,False
2008-11-17,36,False
2008-11-18,21,False
2008-11-19,41,False
2008-11-20,0,False
2008-11-21,39,False
2008-11-22,0,False
2008-11-23,0,False
2008-11-24,34,False
2008-11-25,29,False
2008-11-26,31,False
2008-11-27,27,False
2008-11-28,38,False
2008-11-29,0,False
2008-11-30,0,False
2008-12-01,25,False
2008-12-02,30,False
2008-12-03,50,False
2008-12-04,30,False
2008-12-05,39,False
2008-12-06,0,False
2008-12-07,0,False
2008-12-08,30,False
2008-12-09,32,False
2008-12-10,42,False
2008-12-11,32,False
2008-12-12,17,False
2008-12-13,23,False
2008-12-14,0,False
2008-12-15,44,False
2008-12-16,31,False
2008-12-17,38,False
2008-12-18,35,False
2008-12-19,0,False
2008-12-20,23,False
2008-12-21,23,False
2008-12-22,21,False
2008-12-23,22,False
2008-12-24,0,False
2008-12-25,0,False
