date,SIRI,isPartial
2008-01-01,30,False
2008-01-02,44,False
2008-01-03,42,False
2008-01-04,44,False
2008-01-05,27,False
2008-01-06,33,False
2008-01-07,44,False
2008-01-08,49,False
2008-01-09,50,False
2008-01-10,44,False
2008-01-11,44,False
2008-01-12,32,False
2008-01-13,24,False
2008-01-14,45,False
2008-01-15,41,False
2008-01-16,37,False
2008-01-17,39,False
2008-01-18,45,False
2008-01-19,35,False
2008-01-20,24,False
2008-01-21,31,False
2008-01-22,46,False
2008-01-23,46,False
2008-01-24,46,False
2008-01-25,48,False
2008-01-26,35,False
2008-01-27,32,False
2008-01-28,49,False
2008-01-29,48,False
2008-01-30,40,False
2008-01-31,45,False
2008-02-01,45,False
2008-02-02,36,False
2008-02-03,32,False
2008-02-04,47,False
2008-02-05,44,False
2008-02-06,48,False
2008-02-07,38,False
2008-02-08,43,False
2008-02-09,30,False
2008-02-10,29,False
2008-02-11,47,False
2008-02-12,40,False
2008-02-13,43,False
2008-02-14,40,False
2008-02-15,44,False
2008-02-16,29,False
2008-02-17,21,False
2008-02-18,30,False
2008-02-19,43,False
2008-02-20,45,False
2008-02-21,41,False
2008-02-22,44,False
2008-02-23,26,False
2008-02-24,17,False
2008-02-25,42,False
2008-02-26,42,False
2008-02-27,47,False
2008-02-28,38,False
2008-02-29,39,False
2008-03-01,26,False
2008-03-02,16,False
2008-03-03,34,False
2008-03-04,32,False
2008-03-05,31,False
2008-03-06,35,False
2008-03-07,37,False
2008-03-08,30,False
2008-03-09,26,False
2008-03-10,42,False
2008-03-11,41,False
2008-03-12,42,False
2008-03-13,42,False
2008-03-14,38,False
2008-03-15,32,False
2008-03-16,24,False
2008-03-17,39,False
2008-03-18,38,False
2008-03-19,40,False
2008-03-20,39,False
2008-03-21,45,False
2008-03-22,32,False
2008-03-23,34,False
2008-03-24,100,False
2008-03-25,88,False
2008-03-26,57,False
2008-03-27,52,False
2008-03-28,58,False
2008-03-29,27,False
2008-03-30,32,False
2008-03-31,50,False
2008-04-01,48,False
2008-04-02,40,False
2008-04-03,41,False
2008-04-04,49,False
2008-04-05,32,False
2008-04-06,30,False
2008-04-07,44,False
2008-04-08,42,False
2008-04-09,45,False
2008-04-10,45,False
2008-04-11,35,False
2008-04-12,39,False
2008-04-13,24,False
2008-04-14,35,False
2008-04-15,40,False
2008-04-16,46,False
2008-04-17,37,False
2008-04-18,45,False
2008-04-19,30,False
2008-04-20,25,False
2008-04-21,35,False
2008-04-22,43,False
2008-04-23,44,False
2008-04-24,48,False
2008-04-25,44,False
2008-04-26,27,False
2008-04-27,30,False
2008-04-28,39,False
2008-04-29,37,False
2008-04-30,45,False
2008-05-01,38,False
2008-05-02,36,False
2008-05-03,34,False
2008-05-04,24,False
2008-05-05,43,False
2008-05-06,50,False
2008-05-07,44,False
2008-05-08,41,False
2008-05-09,34,False
2008-05-10,27,False
2008-05-11,31,False
2008-05-12,49,False
2008-05-13,37,False
2008-05-14,36,False
2008-05-15,35,False
2008-05-16,39,False
2008-05-17,26,False
2008-05-18,24,False
