date,WBA,isPartial
2008-01-01,35,False
2008-01-02,30,False
2008-01-03,23,False
2008-01-04,24,False
2008-01-05,34,False
2008-01-06,27,False
2008-01-07,40,False
2008-01-08,33,False
2008-01-09,29,False
2008-01-10,40,False
2008-01-11,35,False
2008-01-12,56,False
2008-01-13,32,False
2008-01-14,50,False
2008-01-15,45,False
2008-01-16,43,False
2008-01-17,28,False
2008-01-18,18,False
2008-01-19,75,False
2008-01-20,55,False
2008-01-21,29,False
2008-01-22,32,False
2008-01-23,35,False
2008-01-24,32,False
2008-01-25,34,False
2008-01-26,20,False
2008-01-27,37,False
2008-01-28,31,False
2008-01-29,44,False
2008-01-30,32,False
2008-01-31,44,False
2008-02-01,29,False
2008-02-02,24,False
2008-02-03,25,False
2008-02-04,36,False
2008-02-05,33,False
2008-02-06,0,False
2008-02-07,40,False
2008-02-08,41,False
2008-02-09,26,False
2008-02-10,31,False
2008-02-11,46,False
2008-02-12,29,False
2008-02-13,25,False
2008-02-14,33,False
2008-02-15,35,False
2008-02-16,27,False
2008-02-17,44,False
2008-02-18,38,False
2008-02-19,29,False
2008-02-20,39,False
2008-02-21,40,False
2008-02-22,31,False
2008-02-23,32,False
2008-02-24,57,False
2008-02-25,40,False
2008-02-26,27,False
2008-02-27,38,False
2008-02-28,33,False
2008-02-29,30,False
2008-03-01,37,False
2008-03-02,38,False
2008-03-03,38,False
2008-03-04,49,False
2008-03-05,34,False
2008-03-06,29,False
2008-03-07,41,False
2008-03-08,30,False
2008-03-09,61,False
2008-03-10,100,False
2008-03-11,61,False
2008-03-12,67,False
2008-03-13,57,False
2008-03-14,40,False
2008-03-15,35,False
2008-03-16,45,False
2008-03-17,55,False
2008-03-18,39,False
2008-03-19,21,False
2008-03-20,37,False
2008-03-21,54,False
2008-03-22,49,False
2008-03-23,33,False
2008-03-24,30,False
2008-03-25,37,False
2008-03-26,37,False
2008-03-27,37,False
2008-03-28,35,False
2008-03-29,80,False
2008-03-30,60,False
2008-03-31,45,False
2008-04-01,43,False
2008-04-02,34,False
2008-04-03,46,False
2008-04-04,37,False
2008-04-05,50,False
2008-04-06,61,False
2008-04-07,46,False
2008-04-08,47,False
2008-04-09,43,False
2008-04-10,33,False
2008-04-11,35,False
2008-04-12,50,False
2008-04-13,43,False
2008-04-14,29,False
2008-04-15,62,False
2008-04-16,54,False
2008-04-17,29,False
2008-04-18,47,False
2008-04-19,38,False
