date,HON,isPartial
2008-04-21,69,False
2008-04-22,70,False
2008-04-23,67,False
2008-04-24,65,False
2008-04-25,64,False
2008-04-26,64,False
2008-04-27,65,False
2008-04-28,77,False
2008-04-29,67,False
2008-04-30,61,False
2008-05-01,71,False
2008-05-02,69,False
2008-05-03,63,False
2008-05-04,66,False
2008-05-05,65,False
2008-05-06,68,False
2008-05-07,75,False
2008-05-08,63,False
2008-05-09,65,False
2008-05-10,71,False
2008-05-11,65,False
2008-05-12,68,False
2008-05-13,64,False
2008-05-14,63,False
2008-05-15,62,False
2008-05-16,63,False
2008-05-17,81,False
2008-05-18,56,False
2008-05-19,63,False
2008-05-20,69,False
2008-05-21,65,False
2008-05-22,64,False
2008-05-23,74,False
2008-05-24,68,False
2008-05-25,62,False
2008-05-26,67,False
2008-05-27,71,False
2008-05-28,68,False
2008-05-29,57,False
2008-05-30,66,False
2008-05-31,62,False
2008-06-01,68,False
2008-06-02,58,False
2008-06-03,66,False
2008-06-04,69,False
2008-06-05,65,False
2008-06-06,67,False
2008-06-07,77,False
2008-06-08,73,False
2008-06-09,52,False
2008-06-10,67,False
2008-06-11,73,False
2008-06-12,72,False
2008-06-13,78,False
2008-06-14,77,False
2008-06-15,62,False
2008-06-16,67,False
2008-06-17,75,False
2008-06-18,61,False
2008-06-19,60,False
2008-06-20,70,False
2008-06-21,59,False
2008-06-22,78,False
2008-06-23,68,False
2008-06-24,76,False
2008-06-25,69,False
2008-06-26,75,False
2008-06-27,69,False
2008-06-28,71,False
2008-06-29,74,False
2008-06-30,77,False
2008-07-01,75,False
2008-07-02,66,False
2008-07-03,66,False
2008-07-04,59,False
2008-07-05,71,False
2008-07-06,64,False
2008-07-07,65,False
2008-07-08,71,False
2008-07-09,81,False
2008-07-10,69,False
2008-07-11,79,False
2008-07-12,77,False
2008-07-13,72,False
2008-07-14,70,False
2008-07-15,76,False
2008-07-16,71,False
2008-07-17,60,False
2008-07-18,76,False
2008-07-19,74,False
2008-07-20,70,False
2008-07-21,64,False
2008-07-22,66,False
2008-07-23,85,False
2008-07-24,82,False
2008-07-25,82,False
2008-07-26,71,False
2008-07-27,77,False
2008-07-28,67,False
2008-07-29,72,False
2008-07-30,73,False
2008-07-31,79,False
2008-08-01,73,False
2008-08-02,75,False
2008-08-03,80,False
2008-08-04,68,False
2008-08-05,74,False
2008-08-06,80,False
2008-08-07,63,False
2008-08-08,76,False
2008-08-09,81,False
2008-08-10,68,False
2008-08-11,75,False
2008-08-12,60,False
2008-08-13,76,False
2008-08-14,74,False
2008-08-15,71,False
2008-08-16,72,False
2008-08-17,80,False
2008-08-18,76,False
2008-08-19,69,False
2008-08-20,78,False
2008-08-21,80,False
2008-08-22,61,False
2008-08-23,85,False
2008-08-24,73,False
2008-08-25,64,False
2008-08-26,75,False
2008-08-27,65,False
2008-08-28,75,False
2008-08-29,76,False
2008-08-30,77,False
2008-08-31,70,False
2008-09-01,68,False
2008-09-02,66,False
2008-09-03,77,False
2008-09-04,81,False
2008-09-05,71,False
2008-09-06,80,False
2008-09-07,71,False
2008-09-08,68,False
2008-09-09,77,False
