date,MRNA,isPartial
2008-01-01,0,False
2008-01-02,38,False
2008-01-03,68,False
2008-01-04,46,False
2008-01-05,48,False
2008-01-06,0,False
2008-01-07,39,False
2008-01-08,63,False
2008-01-09,65,False
2008-01-10,65,False
2008-01-11,89,False
2008-01-12,63,False
2008-01-13,0,False
2008-01-14,46,False
2008-01-15,88,False
2008-01-16,61,False
2008-01-17,65,False
2008-01-18,54,False
2008-01-19,44,False
2008-01-20,68,False
2008-01-21,73,False
2008-01-22,77,False
2008-01-23,63,False
2008-01-24,38,False
2008-01-25,52,False
2008-01-26,0,False
2008-01-27,52,False
2008-01-28,94,False
2008-01-29,42,False
2008-01-30,79,False
2008-01-31,64,False
2008-02-01,81,False
2008-02-02,0,False
2008-02-03,46,False
2008-02-04,83,False
2008-02-05,71,False
2008-02-06,68,False
2008-02-07,52,False
2008-02-08,81,False
2008-02-09,0,False
2008-02-10,44,False
2008-02-11,67,False
2008-02-12,56,False
2008-02-13,69,False
2008-02-14,52,False
2008-02-15,85,False
2008-02-16,0,False
2008-02-17,0,False
2008-02-18,62,False
2008-02-19,62,False
2008-02-20,70,False
2008-02-21,79,False
2008-02-22,39,False
2008-02-23,48,False
2008-02-24,53,False
2008-02-25,73,False
2008-02-26,100,False
2008-02-27,91,False
2008-02-28,63,False
2008-02-29,81,False
2008-03-01,0,False
2008-03-02,60,False
2008-03-03,61,False
2008-03-04,91,False
2008-03-05,62,False
2008-03-06,94,False
2008-03-07,68,False
2008-03-08,0,False
2008-03-09,0,False
2008-03-10,59,False
2008-03-11,59,False
2008-03-12,56,False
2008-03-13,62,False
2008-03-14,63,False
2008-03-15,0,False
2008-03-16,0,False
2008-03-17,59,False
2008-03-18,59,False
2008-03-19,63,False
2008-03-20,0,False
2008-03-21,40,False
2008-03-22,50,False
2008-03-23,0,False
2008-03-24,58,False
2008-03-25,53,False
2008-03-26,57,False
2008-03-27,71,False
2008-03-28,56,False
2008-03-29,0,False
2008-03-30,63,False
2008-03-31,95,False
2008-04-01,74,False
2008-04-02,71,False
2008-04-03,68,False
2008-04-04,80,False
2008-04-05,0,False
2008-04-06,69,False
2008-04-07,84,False
2008-04-08,71,False
2008-04-09,64,False
2008-04-10,85,False
2008-04-11,38,False
2008-04-12,0,False
2008-04-13,59,False
2008-04-14,58,False
2008-04-15,55,False
2008-04-16,43,False
2008-04-17,69,False
2008-04-18,67,False
2008-04-19,0,False
2008-04-20,54,False
2008-04-21,62,False
2008-04-22,77,False
2008-04-23,79,False
2008-04-24,58,False
2008-04-25,75,False
2008-04-26,0,False
2008-04-27,77,False
2008-04-28,74,False
2008-04-29,69,False
2008-04-30,62,False
2008-05-01,72,False
2008-05-02,55,False
2008-05-03,48,False
2008-05-04,42,False
2008-05-05,70,False
2008-05-06,71,False
2008-05-07,92,False
2008-05-08,75,False
2008-05-09,65,False
2008-05-10,0,False
2008-05-11,69,False
2008-05-12,64,False
2008-05-13,59,False
2008-05-14,81,False
2008-05-15,35,False
2008-05-16,75,False
2008-05-17,46,False
2008-05-18,0,False
2008-05-19,61,False
2008-05-20,74,False
2008-05-21,71,False
2008-05-22,70,False
2008-05-23,0,False
2008-05-24,0,False
2008-05-25,62,False
2008-05-26,77,False
2008-05-27,61,False
2008-05-28,70,False
2008-05-29,57,False
2008-05-30,52,False
2008-05-31,0,False
2008-06-01,64,False
2008-06-02,60,False
2008-06-03,43,False
2008-06-04,86,False
2008-06-05,55,False
2008-06-06,36,False
2008-06-07,88,False
2008-06-08,0,False
2008-06-09,70,False
2008-06-10,61,False
2008-06-11,64,False
2008-06-12,72,False
2008-06-13,34,False
2008-06-14,0,False
2008-06-15,51,False
2008-06-16,63,False
2008-06-17,52,False
2008-06-18,56,False
2008-06-19,0,False
2008-06-20,49,False
2008-06-21,0,False
2008-06-22,64,False
2008-06-23,0,False
2008-06-24,41,False
2008-06-25,38,False
2008-06-26,44,False
2008-06-27,0,False
2008-06-28,0,False
2008-06-29,0,False
2008-06-30,50,False
2008-07-01,35,False
2008-07-02,38,False
2008-07-03,45,False
2008-07-04,31,False
2008-07-05,0,False
2008-07-06,0,False
2008-07-07,36,False
2008-07-08,29,False
2008-07-09,33,False
2008-07-10,39,False
2008-07-11,37,False
2008-07-12,0,False
2008-07-13,34,False
2008-07-14,37,False
2008-07-15,43,False
2008-07-16,36,False
2008-07-17,28,False
2008-07-18,48,False
2008-07-19,0,False
2008-07-20,0,False
2008-07-21,44,False
2008-07-22,34,False
2008-07-23,50,False
2008-07-24,46,False
2008-07-25,31,False
2008-07-26,0,False
2008-07-27,0,False
2008-07-28,30,False
2008-07-29,40,False
2008-07-30,57,False
2008-07-31,35,False
2008-08-01,44,False
