date,MELI,isPartial
2008-01-01,0,False
2008-01-02,45,False
2008-01-03,52,False
2008-01-04,85,False
2008-01-05,69,False
2008-01-06,70,False
2008-01-07,77,False
2008-01-08,67,False
2008-01-09,63,False
2008-01-10,54,False
2008-01-11,79,False
2008-01-12,48,False
2008-01-13,49,False
2008-01-14,62,False
2008-01-15,55,False
2008-01-16,74,False
2008-01-17,73,False
2008-01-18,82,False
2008-01-19,48,False
2008-01-20,44,False
2008-01-21,58,False
2008-01-22,65,False
2008-01-23,45,False
2008-01-24,62,False
2008-01-25,66,False
2008-01-26,63,False
2008-01-27,67,False
2008-01-28,54,False
2008-01-29,86,False
2008-01-30,85,False
2008-01-31,68,False
2008-02-01,84,False
2008-02-02,72,False
2008-02-03,59,False
2008-02-04,51,False
2008-02-05,67,False
2008-02-06,69,False
2008-02-07,80,False
2008-02-08,82,False
2008-02-09,69,False
2008-02-10,64,False
2008-02-11,72,False
2008-02-12,86,False
2008-02-13,44,False
2008-02-14,82,False
2008-02-15,60,False
2008-02-16,75,False
2008-02-17,84,False
2008-02-18,66,False
2008-02-19,59,False
2008-02-20,63,False
2008-02-21,66,False
2008-02-22,65,False
2008-02-23,55,False
2008-02-24,0,False
2008-02-25,64,False
2008-02-26,61,False
2008-02-27,72,False
2008-02-28,76,False
2008-02-29,100,False
2008-03-01,54,False
2008-03-02,66,False
2008-03-03,78,False
2008-03-04,79,False
2008-03-05,72,False
2008-03-06,66,False
2008-03-07,69,False
2008-03-08,37,False
2008-03-09,69,False
2008-03-10,83,False
2008-03-11,70,False
2008-03-12,75,False
2008-03-13,62,False
2008-03-14,55,False
2008-03-15,71,False
2008-03-16,58,False
2008-03-17,73,False
2008-03-18,71,False
2008-03-19,52,False
2008-03-20,65,False
2008-03-21,63,False
2008-03-22,73,False
2008-03-23,59,False
2008-03-24,37,False
2008-03-25,71,False
2008-03-26,66,False
2008-03-27,76,False
2008-03-28,72,False
2008-03-29,57,False
2008-03-30,64,False
2008-03-31,54,False
2008-04-01,83,False
2008-04-02,57,False
2008-04-03,69,False
2008-04-04,50,False
2008-04-05,88,False
2008-04-06,82,False
2008-04-07,82,False
2008-04-08,56,False
2008-04-09,50,False
2008-04-10,57,False
2008-04-11,60,False
2008-04-12,66,False
2008-04-13,61,False
2008-04-14,40,False
2008-04-15,46,False
2008-04-16,78,False
2008-04-17,71,False
2008-04-18,74,False
2008-04-19,56,False
2008-04-20,55,False
2008-04-21,59,False
2008-04-22,60,False
2008-04-23,46,False
2008-04-24,74,False
2008-04-25,65,False
2008-04-26,74,False
2008-04-27,41,False
2008-04-28,59,False
2008-04-29,84,False
2008-04-30,59,False
2008-05-01,55,False
2008-05-02,44,False
2008-05-03,49,False
2008-05-04,65,False
2008-05-05,69,False
2008-05-06,53,False
2008-05-07,69,False
2008-05-08,63,False
2008-05-09,58,False
2008-05-10,51,False
2008-05-11,69,False
2008-05-12,62,False
2008-05-13,80,False
2008-05-14,77,False
2008-05-15,47,False
2008-05-16,74,False
2008-05-17,60,False
2008-05-18,58,False
2008-05-19,56,False
2008-05-20,65,False
2008-05-21,93,False
2008-05-22,60,False
2008-05-23,68,False
2008-05-24,79,False
2008-05-25,63,False
2008-05-26,77,False
2008-05-27,66,False
2008-05-28,46,False
2008-05-29,66,False
2008-05-30,63,False
2008-05-31,49,False
2008-06-01,51,False
2008-06-02,53,False
2008-06-03,45,False
2008-06-04,67,False
2008-06-05,41,False
2008-06-06,68,False
2008-06-07,39,False
